episode,reward,avg reward,tiles,avg tiles,completed,avg completed,epsilon
0,-67.38104969751977,-67.38104969751977,11,11.0,,,1.0
1,-57.910642171011844,-62.64584593426581,9,10.0,,,1.0
2,-20.161559389238988,-48.48441708592353,10,10.0,,,1.0
3,-60.27451659289172,-51.43194196266558,10,10.0,,,1.0
4,-67.66975799389986,-54.67950516891244,11,10.2,,,1.0
5,-16.613387821438643,-48.335152277666815,13,10.666666666666666,,,1.0
6,-63.59508138044939,-50.515142149492895,9,10.428571428571429,,,1.0
7,-33.22892998852571,-48.354365629372,10,10.375,,,1.0
8,-19.52928992955314,-45.15157944050324,11,10.444444444444445,,,1.0
9,-66.82931685920354,-47.31935318237326,9,10.3,,,1.0
10,-62.48956819766804,-48.69846363830916,11,10.363636363636363,,,1.0
11,-30.37331370088774,-47.1713678101907,11,10.416666666666666,,,1.0
12,-70.53757489863467,-48.96876835545562,11,10.461538461538462,,,1.0
13,-45.634915671373236,-48.730636020878315,10,10.428571428571429,,,1.0
14,-32.39251371957178,-47.64142786745788,12,10.533333333333333,,,1.0
15,-40.594847490389554,-47.2010165938911,11,10.5625,,,1.0
16,-39.217425726800556,-46.7313936017093,11,10.588235294117647,,,1.0
17,-60.495412854956825,-47.49606133800083,11,10.61111111111111,,,1.0
18,-46.17416363344485,-47.42648777460315,12,10.68421052631579,,,1.0
19,-42.786423481719844,-47.19448455995898,11,10.7,,,1.0
20,-39.20201883059885,-46.813890953798975,12,10.761904761904763,,,0.9670698333333333
21,-40.25908206370608,-46.515945095158386,11,10.772727272727273,,,0.9654865
22,-70.19817706394466,-47.545607354670835,11,10.782608695652174,,,0.9639031666666666
23,-32.14359199399251,-46.903856714642565,11,10.791666666666666,,,0.9623198333333334
24,-18.527806119846932,-45.76881469085074,12,10.84,,,0.9607365
25,-25.77232828726974,-44.999719059943786,12,10.884615384615385,,,0.9591531666666666
26,-40.376073973056656,-44.82847294561463,12,10.925925925925926,,,0.9575698333333333
27,-44.85762754149091,-44.82951418118164,13,11.0,,,0.9559865
28,-65.62207615457743,-45.54649907681598,10,10.96551724137931,,,0.9544031666666667
29,-73.84474692046338,-46.48977400493756,14,11.066666666666666,,,0.9528198333333333
30,-29.25525115151075,-45.933821654827014,11,11.064516129032258,,,0.9512365
31,-36.58363149930714,-45.641628212467026,11,11.0625,,,0.9496531666666667
32,-48.87051045842325,-45.73947312901115,12,11.090909090909092,,,0.9480698333333333
33,-69.39885126045732,-46.43533719170075,11,11.088235294117647,,,0.9464865
34,-68.73103295705711,-47.07235707071093,11,11.085714285714285,,,0.9449031666666666
35,-73.54485311453912,-47.80770418303949,12,11.11111111111111,,,0.9433198333333334
36,-47.987106590518124,-47.81255289675513,15,11.216216216216216,,,0.9417365
37,-28.659795990302978,-47.30853297816428,11,11.210526315789474,,,0.9401531666666667
38,-61.740515728155316,-47.67858381790764,8,11.128205128205128,,,0.93910975
39,-14.392552391099546,-46.84643303223744,16,11.25,,,0.9375264166666667
40,-65.28562296137919,-47.2961693719726,12,11.268292682926829,,,0.9359430833333333
41,-24.999912272930555,-46.7653061077097,12,11.285714285714286,,,0.93435975
42,-82.10000000000038,-47.58704317497227,7,11.186046511627907,,,0.93335275
43,-45.51502765731247,-47.539951913207275,12,11.204545454545455,,,0.9317694166666667
44,-53.96439997214103,-47.68271742562803,13,11.244444444444444,,,0.9301860833333333
45,-40.550227933121064,-47.527663306225705,14,11.304347826086957,,,0.92860275
46,-94.05340973733553,-48.51757280475996,11,11.297872340425531,,,0.9271555833333334
47,-63.61843684373627,-48.832174138905295,11,11.291666666666666,,,0.92557225
48,-24.635253754488392,-48.338359437182504,13,11.326530612244898,,,0.9239889166666666
49,-35.37352306755144,-48.07906270978989,13,11.36,,,0.9224055833333333
50,-14.501706003438061,-47.420683166528086,18,11.490196078431373,,,0.92082225
51,-38.209991222899006,-47.24355447530445,14,11.538461538461538,,,0.9192389166666667
52,-33.406183278666425,-46.982471999896184,13,11.566037735849056,,,0.9176555833333333
53,-63.66385369784306,-47.291386475784094,10,11.537037037037036,,,0.91607225
54,-42.539778892287934,-47.204993610629614,14,11.581818181818182,,,0.9144889166666667
55,-61.312112103261285,-47.45690644085518,10,11.553571428571429,,,0.9129055833333333
56,-60.85588113538368,-47.69197617233814,12,11.56140350877193,,,0.91132225
57,-43.019428862909805,-47.61141501183076,15,11.620689655172415,,,0.9097389166666666
58,-51.058269770058246,-47.669836278919355,14,11.661016949152541,,,0.9081555833333333
59,-42.27449254526117,-47.57991388335839,10,11.633333333333333,,,0.90657225
60,-36.64488084964266,-47.400651046740094,14,11.672131147540984,,,0.9049889166666667
61,-114.14796527445793,-48.477220631058124,9,11.629032258064516,,,0.9034404166666666
62,-102.09999999999998,-49.328375859136564,11,11.619047619047619,,,0.9020534166666667
63,-37.37463067046094,-49.141598590563504,12,11.625,,,0.9004700833333333
64,-65.27444600507384,-49.38979624309444,13,11.646153846153846,,,0.89888675
65,-21.221543745022526,-48.9630045385782,13,11.666666666666666,,,0.8973034166666667
66,-74.03990723558816,-49.337286668384316,17,11.746268656716419,,,0.8957818333333334
67,-14.94149520431986,-48.831466205677486,15,11.794117647058824,,,0.8941985
68,-65.92047216624599,-49.0791329587292,14,11.826086956521738,,,0.8926151666666666
69,-59.91872843488217,-49.233984322674246,12,11.82857142857143,,,0.8910318333333334
70,-82.5561642264246,-49.70331080019186,15,11.873239436619718,,,0.88950075
71,-32.58962637417431,-49.46562073871939,15,11.916666666666666,,,0.8879174166666667
72,-63.867792887049475,-49.66291076814856,11,11.904109589041095,,,0.8863340833333333
73,-53.90047183992242,-49.72017510695632,13,11.91891891891892,,,0.88475075
74,-65.80489634825747,-49.934638056840335,13,11.933333333333334,,,0.8831674166666666
75,-59.32967212375431,-50.05825692614184,12,11.93421052631579,,,0.8815840833333334
76,-72.30000000000034,-50.34711073229584,4,11.831168831168831,,,0.88077975
77,-65.31796489729591,-50.53904476005225,13,11.846153846153847,,,0.8791964166666667
78,-75.4241218285061,-50.8540457356023,13,11.860759493670885,,,0.8776130833333333
79,-82.12516152783458,-51.244934683005205,11,11.85,,,0.87602975
80,-81.00464965616499,-51.61233857156274,15,11.88888888888889,,,0.8744464166666667
81,-67.646912404398,-51.807882154889995,11,11.878048780487806,,,0.8728630833333333
82,-12.096200012511298,-51.32942815317458,16,11.927710843373495,,,0.87127975
83,-67.60425779013217,-51.52317612504313,12,11.928571428571429,,,0.8696964166666666
84,-46.452325948644706,-51.46351906414433,14,11.952941176470588,,,0.8681130833333334
85,-12.0791518544968,-51.00556130589261,16,12.0,,,0.86652975
86,-47.72156714830432,-50.96781424660999,12,12.0,,,0.8650445833333333
87,-42.80561178119188,-50.8750619458666,9,11.965909090909092,,,0.8639663333333334
88,-100.19355776196471,-51.42920234829466,7,11.910112359550562,,,0.8626695833333333
89,-52.07809515813872,-51.43641226840404,17,11.966666666666667,,,0.86108625
90,-15.199482110136342,-51.03820424468681,14,11.989010989010989,,,0.8595029166666667
91,-41.681521838843516,-50.93650117505808,12,11.98913043478261,,,0.8580636666666667
92,-55.646574493445115,-50.987147124718156,10,11.96774193548387,,,0.8571374166666667
93,-38.785938048687136,-50.85734702816463,15,12.0,,,0.856322
94,-91.76827747525,-51.28798840129185,12,12.0,,,0.85477825
95,-23.056953874119337,-50.993915124967145,14,12.020833333333334,,,0.8531949166666667
96,-67.16800722229236,-51.16065834246535,14,12.041237113402062,,,0.8516115833333333
97,-54.08222171020344,-51.19047021356471,17,12.091836734693878,,,0.85002825
98,-48.3545991637703,-51.161825051445575,13,12.1010101010101,,,0.8484449166666667
99,-38.078875803659415,-51.03099555896772,11,12.09,,,0.8471845833333334
100,-48.013937092179646,-50.8373244329143,14,12.12,,,0.84560125
101,-17.47169073719113,-50.4329349185761,16,12.19,,,0.8440179166666667
102,-63.26759748859284,-50.86399529956963,12,12.21,,,0.8424345833333333
103,-73.40000000000035,-50.99525013364073,6,12.17,,,0.8415811666666666
104,-79.50697900413826,-51.1136223437431,11,12.17,,,0.84021475
105,-46.568226335370255,-51.41317072888241,18,12.22,,,0.8392489166666667
106,-12.158722774397527,-50.898807142821894,16,12.29,,,0.8376655833333333
107,-65.26796007623577,-51.219197443699,15,12.34,,,0.83608225
108,-38.354175258668604,-51.40744629699016,12,12.35,,,0.8347411666666666
109,-47.21283367863644,-51.21128146518449,15,12.41,,,0.8331578333333334
110,-9.46427050265605,-50.68102848823437,24,12.54,,,0.8315745
111,-19.482509795675945,-50.57212044918226,17,12.6,,,0.8299911666666666
112,-35.64402888607706,-50.22318498905668,7,12.56,,,0.8291076666666667
113,-71.64581985023219,-50.48329403084527,11,12.57,,,0.8275243333333333
114,-49.40899525040829,-50.653458846153626,16,12.61,,,0.825941
115,-44.45048221407406,-50.69201519339047,14,12.64,,,0.8243576666666667
116,-15.074370843219555,-50.45058464455465,14,12.67,,,0.8227743333333333
117,-56.331547482924286,-50.40894599083433,10,12.66,,,0.821191
118,-36.838543563303745,-50.31558979013292,9,12.63,,,0.82007
119,-84.95398730736002,-50.73726542838932,11,12.63,,,0.8187194166666667
120,-75.16924566181093,-51.09693769670145,16,12.67,,,0.817144
121,-40.7433460915092,-51.10178033697948,8,12.64,,,0.816346
122,-90.14451662493903,-51.30124373258942,9,12.62,,,0.8147626666666666
123,-41.590886610507575,-51.39571667875457,13,12.64,,,0.8131793333333334
124,-68.00692416491907,-51.89050785920528,22,12.74,,,0.811596
125,-67.8196872334757,-52.31098144866734,14,12.76,,,0.8100126666666667
126,-56.15659465541761,-52.46878665549096,17,12.81,,,0.8084293333333333
127,-41.79243514499682,-52.43813473152603,6,12.74,,,0.80766775
128,-52.960210169544254,-52.31151607167569,4,12.68,,,0.8069235833333334
129,-35.674855577355984,-51.92981715824462,9,12.63,,,0.8060543333333333
130,-64.62595229257323,-52.28352416965524,8,12.6,,,0.8044709999999999
131,-77.77078000972902,-52.69539565475945,11,12.6,,,0.8028876666666667
132,-77.13578236074333,-52.97804837378265,15,12.63,,,0.80134075
133,-64.53412989632761,-52.92940116014136,16,12.68,,,0.7997574166666667
134,-87.9000000000004,-53.12109083057079,6,12.63,,,0.7986744166666666
135,-15.661724032886145,-52.54225953975426,14,12.65,,,0.7970910833333333
136,-34.23351471937094,-52.40472362104279,17,12.67,,,0.7964767500000001
137,-34.43680917705685,-52.46249375291033,5,12.61,,,0.7960334166666667
138,-53.97639180435823,-52.38485251367236,17,12.7,,,0.7944500833333333
139,-66.7854058712159,-52.90878104847352,14,12.68,,,0.79286675
140,-43.70466630239839,-52.69297148188372,12,12.68,,,0.7912834166666667
141,-110.54448566257888,-53.5484172157802,9,12.65,,,0.7900325833333334
142,-52.19302137580786,-53.249347429538275,6,12.64,,,0.7892646666666667
143,-42.67453708726723,-53.22094252383782,9,12.61,,,0.7876813333333333
144,-33.209374780188035,-53.0133922719183,4,12.52,,,0.7870765
145,-60.30000000000024,-53.210889992587084,5,12.43,,,0.7864463333333334
146,-41.146891419402564,-52.681824809407765,8,12.4,,,0.7856340833333333
147,-116.72344421905512,-53.21287488316095,11,12.4,,,0.78405075
148,-70.7212731285388,-53.67373507690145,13,12.4,,,0.7824674166666666
149,-73.14954432439208,-54.051495289469855,8,12.35,,,0.7808840833333334
150,-59.51043089645914,-54.501582538400065,17,12.34,,,0.77950975
151,-81.76336638952127,-54.937116290066285,16,12.36,,,0.7779564999999999
152,-43.4082440302151,-55.03713689758179,14,12.37,,,0.7763731666666667
153,-72.81475724750437,-55.128645933078396,10,12.37,,,0.7747898333333334
154,-42.314366318016766,-55.126391807335686,20,12.43,,,0.7732065
155,-77.92724385000616,-55.29254312480313,9,12.42,,,0.7720696666666667
156,-76.54527031420422,-55.44943701659135,12,12.42,,,0.7706035
157,-49.01129095317495,-55.509355637494,11,12.38,,,0.7690201666666667
158,-65.6674361896463,-55.65544730168988,14,12.38,,,0.7674368333333333
159,-82.3993283107,-56.05669565934427,8,12.36,,,0.7660260833333333
160,-51.7671839347429,-56.20791869019527,17,12.39,,,0.76444275
161,-61.30651645569066,-55.67950420200759,16,12.46,,,0.7628594166666667
162,-82.92204752129268,-55.48772467722052,11,12.46,,,0.7612760833333333
163,-48.427851830552875,-55.59825688882143,21,12.55,,,0.75969275
164,-43.02442875556266,-55.375756716326315,15,12.57,,,0.7581094166666666
165,-55.376775839259196,-55.717309037268684,14,12.58,,,0.7565260833333334
166,-53.353483623339294,-55.51044480114621,7,12.48,,,0.7555539166666667
167,-39.98631174147986,-55.760892966517794,26,12.59,,,0.7539705833333333
168,-85.62569351897386,-55.95794518004508,12,12.57,,,0.75238725
169,-37.031028080940736,-55.72906817650565,6,12.51,,,0.7514594166666666
170,-61.11295185842752,-55.51463605282569,17,12.53,,,0.7498760833333333
171,-71.94650176401402,-55.908204806724086,13,12.51,,,0.7482927500000001
172,-47.00403233850159,-55.73956720123861,15,12.55,,,0.7467094166666667
173,-60.91308872708088,-55.809693370110196,16,12.58,,,0.7451260833333333
174,-11.569319520878782,-55.26733760183642,28,12.73,,,0.74354275
175,-61.7463418032089,-55.291504298630954,14,12.75,,,0.7419594166666666
176,-84.50927953898126,-55.41359709402075,16,12.87,,,0.7404536666666667
177,-52.849378901222,-55.288911234060016,18,12.92,,,0.7388703333333333
178,-11.002065965825956,-54.64469067543321,29,13.08,,,0.737287
179,-88.24758460702537,-54.705914906225125,12,13.09,,,0.73588575
180,-34.95171511667243,-54.2453855608302,10,13.04,,,0.7355674999999999
181,-33.90742702726798,-53.90799070705891,10,13.03,,,0.7347536666666666
182,-67.90737452868527,-54.466102452220646,12,12.99,,,0.7331703333333333
183,-47.834474943716046,-54.26840462375649,4,12.91,,,0.7325670833333333
184,-31.680024152952797,-54.120681605799554,14,12.91,,,0.7316598333333333
185,-50.88506805122932,-54.508740767766895,14,12.89,,,0.7300765
186,-56.24663234376804,-54.59399141972154,9,12.86,,,0.7284931666666666
187,-39.0012341063007,-54.555947642972626,5,12.82,,,0.7278281666666666
188,-83.20204530192842,-54.38603251837226,11,12.86,,,0.7262448333333333
189,-59.08383277021081,-54.456089894492976,27,12.96,,,0.7246615000000001
190,-30.6464770525963,-54.61055984391757,9,12.91,,,0.7240139166666666
191,-69.69830987080388,-54.89072772423717,17,12.96,,,0.7224305833333333
192,-39.174812583176674,-54.72601010513449,7,12.93,,,0.7215898333333333
193,-59.86773940340144,-54.93682811868163,23,13.01,,,0.7200065
194,-55.53632743734114,-54.574508618302545,6,12.95,,,0.7190945
195,-43.080956295826084,-54.7747486425196,4,12.85,,,0.7185213333333333
196,-45.070624896161476,-54.553774819258294,12,12.83,,,0.7169380000000001
197,-75.00074325721913,-54.76296003472845,9,12.75,,,0.7153546666666666
198,-48.98280347338729,-54.76924207782463,11,12.73,,,0.7142859166666666
199,-41.75846096100737,-54.80603792939811,7,12.69,,,0.7135781666666667
200,-68.49703018216996,-55.01086886029802,13,12.68,,,0.7119948333333334
201,-31.60931766451875,-55.15224512957129,8,12.6,,,0.7113741666666666
202,-90.58962403097179,-55.4254653949951,24,12.72,,,0.7098494166666667
203,-54.97835570947604,-55.24124895208985,12,12.78,,,0.7091448333333333
204,-70.12806422346458,-55.14745980428311,7,12.74,,,0.7081489166666667
205,-76.04740207895154,-55.44225156171891,22,12.78,,,0.7069376666666667
206,-33.451773261957165,-55.655182066594506,14,12.76,,,0.70605575
207,-73.92925688461631,-55.741795034678304,14,12.75,,,0.7044724166666667
208,-53.865408610818264,-55.89690736819982,4,12.67,,,0.7037329999999999
209,-60.435526378971986,-56.029134295203164,25,12.77,,,0.7023935
210,-37.53798817679017,-56.30987147194452,9,12.62,,,0.70130575
211,-93.47366344280279,-57.04978300841577,19,12.64,,,0.69976675
212,-34.41438762288039,-57.037486595783804,8,12.65,,,0.69889275
213,-41.53741458470346,-56.73640254312851,40,12.94,,,0.6973094166666667
214,-76.40350755834851,-57.00634766620792,10,12.88,,,0.6957260833333334
215,-42.21688333314946,-56.984011677398684,13,12.87,,,0.6951735
216,-48.89283848607404,-57.32219635382723,14,12.87,,,0.6935901666666666
217,-42.60000000000002,-57.18488087899798,3,12.8,,,0.6932719166666667
218,-61.92618416993797,-57.43575728506433,14,12.85,,,0.6916885833333333
219,-75.71600295593515,-57.343377441550075,15,12.89,,,0.69010525
220,-80.53717492263686,-57.39705673415834,11,12.84,,,0.6885219166666667
221,-116.39765982309463,-58.15359987147419,41,13.17,,,0.6869385833333334
222,-41.94586571440067,-57.67161336236881,19,13.27,,,0.685531
223,-54.81747207316848,-57.80387921699541,23,13.37,,,0.6839476666666666
224,-73.3005332457745,-57.85681530780396,24,13.39,,,0.6825875833333332
225,-105.79999999999977,-58.23661843546921,12,13.37,,,0.6811261666666666
226,-58.52702895290081,-58.26032277844404,18,13.38,,,0.6795428333333333
227,-52.444967658896,-58.36684810358303,18,13.5,,,0.6779595
228,-79.01148524313903,-58.62736085431898,18,13.64,,,0.6763761666666667
229,-33.25270107068542,-58.60313930925227,22,13.77,,,0.6758283333333333
230,-58.87278711599118,-58.54560765748645,24,13.93,,,0.6746946666666667
231,-43.22744667056235,-58.200174324094775,10,13.92,,,0.6739124999999999
232,-88.48906573881992,-58.31370715787554,18,13.95,,,0.6724099166666666
233,-36.92192155198796,-58.03758507443215,3,13.82,,,0.6719523333333333
234,-4.80079283256503,-57.2065930027578,28,14.04,,,0.670369
235,-41.539132451070444,-57.465367086939644,12,14.02,,,0.6696628333333333
236,-48.3078187847949,-57.60611012759389,11,13.96,,,0.669172
237,-66.20285597351733,-57.92377059555849,16,14.07,,,0.6680699999999999
238,-45.342034448554145,-57.83742702200045,7,13.97,,,0.6673796666666667
239,-69.73684033319972,-57.866941366620274,22,14.05,,,0.6657963333333333
240,-50.07089230226718,-57.93060362661897,14,14.07,,,0.6648035833333333
241,-61.045503201193846,-57.43561380200513,32,14.3,,,0.66322025
242,-59.14446545518204,-57.505128242798875,15,14.39,,,0.6616369166666667
243,-55.06113562681689,-57.62899422819438,15,14.45,,,0.6600535833333333
244,-50.03675422761255,-57.79726802266861,5,14.46,,,0.6594392499999999
245,-52.150823626492546,-57.71577625893354,4,14.45,,,0.6588850833333333
246,-61.007251060589425,-57.9143798553454,8,14.45,,,0.6581124166666666
247,-44.31264762443482,-57.1902718893992,21,14.55,,,0.6566921666666667
248,-74.0889581874126,-57.22394873998794,25,14.67,,,0.6551088333333333
249,-73.83278886986159,-57.23078118544263,7,14.66,,,0.6542316666666667
250,-73.33282477627964,-57.36900512424083,10,14.59,,,0.6526483333333333
251,-37.7152952327602,-56.92852441267323,11,14.54,,,0.65158275
252,-101.23322665613168,-57.50677423893239,27,14.67,,,0.6499994166666667
253,-73.06396061435633,-57.50926627260091,16,14.73,,,0.6484160833333333
254,-79.67741459011505,-57.88289675532189,16,14.69,,,0.6471335833333334
255,-74.90536044370172,-57.852677921258845,14,14.74,,,0.64555025
256,-44.971716850315126,-57.53694238661995,11,14.73,,,0.64485675
257,-72.53422450573524,-57.77217172214555,11,14.73,,,0.6432734166666667
258,-67.16668806550717,-57.78716424090417,28,14.87,,,0.6416900833333333
259,-34.659735839344485,-57.30976831619061,6,14.85,,,0.64124675
260,-39.12513576209731,-57.183347834464165,8,14.76,,,0.6408984166666667
261,-49.95794658371883,-57.069862135744444,11,14.71,,,0.63997375
262,-61.56865896992014,-56.85632825023071,31,14.91,,,0.6383904166666667
263,-61.85311904626213,-56.9905809223878,7,14.77,,,0.6377159166666666
264,-32.972552077253795,-56.89006215560471,28,14.9,,,0.6371775833333333
265,-37.53937066261955,-56.711688103838306,8,14.84,,,0.6366709166666666
266,-50.92633907770631,-56.68741665838197,8,14.85,,,0.6350875833333334
267,-67.35668307696146,-56.9611203717368,19,14.78,,,0.6338145833333333
268,-42.849241720645956,-56.53335585375352,19,14.85,,,0.63304825
269,-65.1816519655483,-56.814862092599604,11,14.9,,,0.6320745
270,-43.411515503517435,-56.63784772905052,8,14.81,,,0.6314601666666666
271,-39.20261938385313,-56.310408905248906,6,14.74,,,0.6310120833333333
272,-44.5328704995677,-56.285697286859566,5,14.64,,,0.63042625
273,-41.150606085133006,-56.08807246044009,5,14.53,,,0.6298578333333333
274,-48.20000000000006,-56.45437926523129,4,14.29,,,0.6294350833333333
275,-79.2951437149714,-56.62986728434891,9,14.24,,,0.6281145833333333
276,-41.334528634575186,-56.19811977530486,10,14.18,,,0.6276538333333334
277,-40.38001515516239,-56.07342613784425,5,14.05,,,0.6273355833333334
278,-55.749485101528464,-56.520900329201275,21,13.97,,,0.62575225
279,-39.9799126800314,-56.038223609931336,14,13.99,,,0.6251379166666666
280,-77.0767432910859,-56.45947389167548,11,14.0,,,0.624047
281,-62.61776998246219,-56.74657732122741,15,14.05,,,0.6230748333333334
282,-31.501414696408233,-56.38251772290466,8,14.01,,,0.6227470833333333
283,-74.5086434644501,-56.649259408111995,9,14.06,,,0.6214075833333333
284,-48.73644196830231,-56.81982358626549,7,13.99,,,0.62072675
285,-72.36908976350482,-57.03466380338825,11,13.96,,,0.6191434166666667
286,-48.4874861278409,-56.95707234122898,11,13.98,,,0.6184704999999999
287,-36.420254064056294,-56.931262540806536,7,14.0,,,0.6180271666666667
288,-36.758289617993576,-56.46682498396718,10,13.99,,,0.6175996666666667
289,-38.757426863858846,-56.263560924903665,6,13.78,,,0.6170344166666666
290,-63.87184188246066,-56.595814573202304,35,14.04,,,0.6157899166666667
291,-31.152582897358016,-56.21035730346785,16,14.03,,,0.6154716666666666
292,-26.588989312549188,-56.084499070761574,24,14.2,,,0.6147354166666666
293,-90.52854225709875,-56.391107099298544,11,14.08,,,0.6133151666666667
294,-41.86366915214986,-56.25438051644662,11,14.13,,,0.6125108333333333
295,-74.61224833158477,-56.569693436804215,18,14.27,,,0.6113486666666667
296,-37.13970452510671,-56.49038423309367,21,14.36,,,0.6099094166666666
297,-95.45738725796966,-56.694950673101175,16,14.43,,,0.6083260833333333
298,-35.00461035999202,-56.555168741967215,6,14.38,,,0.6077893333333333
299,-41.428868296712004,-56.55187281532426,3,14.34,,,0.60743625
300,-17.15162428743616,-56.03841875637691,68,14.89,,,0.6058529166666666
301,-53.39526222685081,-56.25627820200024,27,15.08,,,0.6042695833333334
302,-84.17233251720573,-56.19210528686258,12,14.96,,,0.60268625
303,-84.05644658788297,-56.482886195646664,28,15.12,,,0.60119
304,-96.14121002836364,-56.743017653695645,24,15.29,,,0.5996430833333333
305,-37.52713226866958,-56.35781495559283,11,15.18,,,0.5991063333333333
306,-32.14591936609452,-56.3447564166342,8,15.12,,,0.5983130833333333
307,-41.9955533708603,-56.02541938149664,23,15.21,,,0.5978903333333333
308,-52.28339225197274,-56.00959921790818,28,15.45,,,0.5963069999999999
309,-75.26073895799004,-56.15785134369837,31,15.51,,,0.5947236666666667
310,-53.867952954533514,-56.32115099147579,4,15.46,,,0.5939399166666667
311,-49.22132692937209,-55.878627626341505,7,15.34,,,0.59322425
312,-29.91204490657946,-55.83360419917848,9,15.35,,,0.5928901666666666
313,-93.31657808545529,-56.35139583418601,21,15.16,,,0.5914667499999999
314,-55.3036965526854,-56.14039772412937,45,15.51,,,0.5904534166666666
315,-88.74379578958006,-56.60566684869367,25,15.63,,,0.5891091666666667
316,-86.73759141934192,-56.984114378026355,33,15.82,,,0.5875258333333333
317,-52.8346243018945,-57.0864606210453,9,15.88,,,0.58693525
318,-31.487416052896698,-56.78207293987489,4,15.78,,,0.5865093333333333
319,-84.59515599923523,-56.870864470307886,15,15.78,,,0.5852553333333333
320,-32.24994710798604,-56.387992192161384,8,15.75,,,0.5844525833333334
321,-21.860529237679422,-55.44262088630724,31,15.65,,,0.58286925
322,-58.15408845115082,-55.60470311367473,11,15.57,,,0.58189075
323,-31.825137387645388,-55.3747797668195,25,15.59,,,0.5803074166666666
324,-66.01569304236544,-55.3019313647854,12,15.47,,,0.579264
